PrimaryNetworkName,SeriesID,SeriesName,SeriesDescription,ProductionCompany,PieceLength,Genres,ReleaseDate,ProgramTypeSS,BannerURL,IsFeatured,SeasonCount,EpisodeCount,PromoVideoURL,PromoImageURL,TrailerVideoURL,TrailerImageURL,SpanishVideoURL,SpanishImageURL
Lifetime Television,14,Clash Of Warriors,"Charles Falco is one of only three men ever to infiltrate three different outlaw biker gangs. With his savvy and expertise, not to mention his immense courage, Falco has helped law enforcement bring some of America's most dangerous and feared gangs to justice. This first season of The Infiltrator takes us deep inside the notorious Vagos. Falco details this operation in the optioned book Vagos, Mongols, and Outlaws: My Infiltration of America's Deadliest Biker Gangs. The real-life Donnie Brasco will meet Sons of Anarchy in a way that can be Gangland 2.0 for History. With a combination of interviews and high-end recreations, each episode unfolds a different step in Falco's covert investigation into their illegal activities. Working in conjunction with law enforcement and drawing on the wealth of material from Falco's book, along with broader documented historical research of inter-gang rivalry, this series captures the reality of outlaw biker counter-culture: a world where freedom is equated with the right to carry guns and trade drugs with impunity, and respect can be earned through fear. With Falco's assistance, the FBI finally gets what it needs to break up these criminal gangs.",Filmroos,1,History,15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/210/835/s-14-clash-of-warriors-dpb-tablet_PageBanner1536x792_1536x792_688495683844.jpg,,3,30,,http://placehold.it/290x175,,http://placehold.it/290x175,,http://placehold.it/290x175
A&E Television Network,15,Dangerous Missions,"This is not a story about the glory of Rome.  It's the story of the millions who rise and fight for freedom in the shadow of absolute power, and the few who led the charge.  The empire calls them Barbarians -  tribes beyond the fringe of civilization that live a primitive, brutish and violent existence.  But these peoples are also some of the fiercest warriors in history -  men and women who refuse to bow to ruthless oppression, launching an epic saga of resistance that ushers in the fall of Rome and shapes the world to come.",Kurtis,2,"Crime, Entertainment",15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/209/359/s-15-dangerous-missions-dpb-tablet_PageBanner1536x792_1536x792_688498755725.jpg,,4,40,,http://placehold.it/290x176,,http://placehold.it/290x176,,http://placehold.it/290x176
The History Channel,16,Weapons At War,"Set against the backdrop of the hit dating competition show Everlasting, UnREAL is led by flawed heroine Rachel Goldberg (Shiri Appleby), a young producer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage that the program's dispassionate executive producer, Quinn King (Constance Zimmer), demands. What ensues is an eye-opening look at what happens in the outrageous world of unscripted television where being a contestant can be vicious and producing it is a whole other reality.",Towers Productions,0.5,History,15/12/2013,Movie,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/239/138/s-16-weapons-at-war-dpb-tablet_PageBanner1536x792_1536x792_688515651958.jpg,,1,10,,http://placehold.it/290x177,,http://placehold.it/290x177,,http://placehold.it/290x177
Lifetime Television,17,The Color Of War,"Before America was one nation, an aging generation of British loyalists maintained diplomacy with the King, but a defiant and radical group of young men would band together in secrecy to change the course of history.Sam Adams, John Hancock, John Adams, Paul Revere, Patrick Henry, Benedict Arnold. Together, they were The Sons of Liberty. Though their names have become American legend, few realize that this group of young radicals didn't start as noble patriots. They were a new American generation of young men from varied backgrounds trying to figure out what to do with their lives. What began as a small testing of authority would become an underground protest movement, inciting the British to respond with totalitarian tactics, cracking down on the colonies and instituting a near police state to maintain order. But after blood was spilled at the Boston Massacre, the Sons of Liberty rallied support for a larger cause. The Sons became guerilla warriors working underground, establishing spy networks, stockpiling weapons and planning covert actions - from the Boston Tea Party to the Battle of Lexington and Concord - that would lead to a declaration of independence and the greatest fight for freedom the world has ever seen. The Sons of Liberty led the revolution before the war and their fight became a nation.",Filmroos,0.2,"Crime, Entertainment",15/12/2013,Scripted,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/220/94/s-17-the-color-of-war-dpb-tablet_PageBanner1536x792_1536x792_688498243704.jpg,,2,20,,http://placehold.it/290x178,,http://placehold.it/290x178,,http://placehold.it/290x178
A&E Television Network,18,Battle Stations,"Charles Falco is one of only three men ever to infiltrate three different outlaw biker gangs. With his savvy and expertise, not to mention his immense courage, Falco has helped law enforcement bring some of America's most dangerous and feared gangs to justice. This first season of The Infiltrator takes us deep inside the notorious Vagos. Falco details this operation in the optioned book Vagos, Mongols, and Outlaws: My Infiltration of America's Deadliest Biker Gangs. The real-life Donnie Brasco will meet Sons of Anarchy in a way that can be Gangland 2.0 for History. With a combination of interviews and high-end recreations, each episode unfolds a different step in Falco's covert investigation into their illegal activities. Working in conjunction with law enforcement and drawing on the wealth of material from Falco's book, along with broader documented historical research of inter-gang rivalry, this series captures the reality of outlaw biker counter-culture: a world where freedom is equated with the right to carry guns and trade drugs with impunity, and respect can be earned through fear. With Falco's assistance, the FBI finally gets what it needs to break up these criminal gangs.",Kurtis,0.13,"Crime, History",15/12/2013,Formats,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/213/263/s-18-battle-stations-dpb-tablet_PageBanner1536x792_1536x792_688496195579.jpg,TRUE,3,30,,http://placehold.it/290x179,,http://placehold.it/290x179,,http://placehold.it/290x179
The History Channel,34,Airline,"This is not a story about the glory of Rome.  It's the story of the millions who rise and fight for freedom in the shadow of absolute power, and the few who led the charge.  The empire calls them Barbarians -  tribes beyond the fringe of civilization that live a primitive, brutish and violent existence.  But these peoples are also some of the fiercest warriors in history -  men and women who refuse to bow to ruthless oppression, launching an epic saga of resistance that ushers in the fall of Rome and shapes the world to come.",Towers Productions,1,Crime,15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/301/631/s-34-airline-dpb-tablet_PageBanner1536x792_1536x792_688508483879.jpg,,4,40,,http://placehold.it/290x180,,http://placehold.it/290x180,,http://placehold.it/290x180
Lifetime Television,36,All Year Round With Katie Brown,"Set against the backdrop of the hit dating competition show Everlasting, UnREAL is led by flawed heroine Rachel Goldberg (Shiri Appleby), a young producer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage that the program's dispassionate executive producer, Quinn King (Constance Zimmer), demands. What ensues is an eye-opening look at what happens in the outrageous world of unscripted television where being a contestant can be vicious and producing it is a whole other reality.",Filmroos,2,"Entertainment, Technology & engineering",15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/860/714/s-36-all-year-round-with-katie-brown-dpb-tablet_PageBanner1536x792_1536x792_688509507567.jpg,TRUE,1,10,,http://placehold.it/290x181,,http://placehold.it/290x181,,http://placehold.it/290x181
A&E Television Network,38,America At War,"Before America was one nation, an aging generation of British loyalists maintained diplomacy with the King, but a defiant and radical group of young men would band together in secrecy to change the course of history.Sam Adams, John Hancock, John Adams, Paul Revere, Patrick Henry, Benedict Arnold. Together, they were The Sons of Liberty. Though their names have become American legend, few realize that this group of young radicals didn't start as noble patriots. They were a new American generation of young men from varied backgrounds trying to figure out what to do with their lives. What began as a small testing of authority would become an underground protest movement, inciting the British to respond with totalitarian tactics, cracking down on the colonies and instituting a near police state to maintain order. But after blood was spilled at the Boston Massacre, the Sons of Liberty rallied support for a larger cause. The Sons became guerilla warriors working underground, establishing spy networks, stockpiling weapons and planning covert actions - from the Boston Tea Party to the Battle of Lexington and Concord - that would lead to a declaration of independence and the greatest fight for freedom the world has ever seen. The Sons of Liberty led the revolution before the war and their fight became a nation.",Kurtis,0.5,History,15/12/2013,Movie,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/223/1023/s-38-america-at-war-dpb-tablet_PageBanner1536x792_1536x792_688506435800.jpg,,2,20,,http://placehold.it/290x182,,http://placehold.it/290x182,,http://placehold.it/290x182
The History Channel,39,America's Castles,"Charles Falco is one of only three men ever to infiltrate three different outlaw biker gangs. With his savvy and expertise, not to mention his immense courage, Falco has helped law enforcement bring some of America's most dangerous and feared gangs to justice. This first season of The Infiltrator takes us deep inside the notorious Vagos. Falco details this operation in the optioned book Vagos, Mongols, and Outlaws: My Infiltration of America's Deadliest Biker Gangs. The real-life Donnie Brasco will meet Sons of Anarchy in a way that can be Gangland 2.0 for History. With a combination of interviews and high-end recreations, each episode unfolds a different step in Falco's covert investigation into their illegal activities. Working in conjunction with law enforcement and drawing on the wealth of material from Falco's book, along with broader documented historical research of inter-gang rivalry, this series captures the reality of outlaw biker counter-culture: a world where freedom is equated with the right to carry guns and trade drugs with impunity, and respect can be earned through fear. With Falco's assistance, the FBI finally gets what it needs to break up these criminal gangs.",Towers Productions,0.2,"Crime, Entertainment",15/12/2013,Scripted,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/225/474/s-39-americas-castles-dpb-tablet_PageBanner1536x792_1536x792_688500803918.jpg,,3,30,,http://placehold.it/290x183,,http://placehold.it/290x183,,http://placehold.it/290x183
Lifetime Television,42,Ancient Mysteries,"This is not a story about the glory of Rome.  It's the story of the millions who rise and fight for freedom in the shadow of absolute power, and the few who led the charge.  The empire calls them Barbarians -  tribes beyond the fringe of civilization that live a primitive, brutish and violent existence.  But these peoples are also some of the fiercest warriors in history -  men and women who refuse to bow to ruthless oppression, launching an epic saga of resistance that ushers in the fall of Rome and shapes the world to come.",Filmroos,0.13,"Crime, History",15/12/2013,Formats,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/303/582/s-42-ancient-mysteries-dpb-tablet_PageBanner1536x792_1536x792_688512579599.jpg,TRUE,4,40,,http://placehold.it/290x184,,http://placehold.it/290x184,,http://placehold.it/290x184
A&E Television Network,43,Arms In Action,"Set against the backdrop of the hit dating competition show Everlasting, UnREAL is led by flawed heroine Rachel Goldberg (Shiri Appleby), a young producer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage that the program's dispassionate executive producer, Quinn King (Constance Zimmer), demands. What ensues is an eye-opening look at what happens in the outrageous world of unscripted television where being a contestant can be vicious and producing it is a whole other reality.",Kurtis,1,Crime,15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/223/23/s-43-arms-in-action-dpb-tablet_PageBanner1536x792_1536x792_688511043981.jpg,,1,10,,http://placehold.it/290x185,,http://placehold.it/290x185,,http://placehold.it/290x185
The History Channel,46,Automobiles,"Before America was one nation, an aging generation of British loyalists maintained diplomacy with the King, but a defiant and radical group of young men would band together in secrecy to change the course of history.Sam Adams, John Hancock, John Adams, Paul Revere, Patrick Henry, Benedict Arnold. Together, they were The Sons of Liberty. Though their names have become American legend, few realize that this group of young radicals didn't start as noble patriots. They were a new American generation of young men from varied backgrounds trying to figure out what to do with their lives. What began as a small testing of authority would become an underground protest movement, inciting the British to respond with totalitarian tactics, cracking down on the colonies and instituting a near police state to maintain order. But after blood was spilled at the Boston Massacre, the Sons of Liberty rallied support for a larger cause. The Sons became guerilla warriors working underground, establishing spy networks, stockpiling weapons and planning covert actions - from the Boston Tea Party to the Battle of Lexington and Concord - that would lead to a declaration of independence and the greatest fight for freedom the world has ever seen. The Sons of Liberty led the revolution before the war and their fight became a nation.",Towers Productions,2,"Entertainment, Technology & engineering",15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/222/47/s-46-automobiles-dpb-tablet_PageBanner1536x792_1536x792_688510019899.jpg,,2,20,,http://placehold.it/290x186,,http://placehold.it/290x186,,http://placehold.it/290x186
Lifetime Television,48,Basic Training,"Charles Falco is one of only three men ever to infiltrate three different outlaw biker gangs. With his savvy and expertise, not to mention his immense courage, Falco has helped law enforcement bring some of America's most dangerous and feared gangs to justice. This first season of The Infiltrator takes us deep inside the notorious Vagos. Falco details this operation in the optioned book Vagos, Mongols, and Outlaws: My Infiltration of America's Deadliest Biker Gangs. The real-life Donnie Brasco will meet Sons of Anarchy in a way that can be Gangland 2.0 for History. With a combination of interviews and high-end recreations, each episode unfolds a different step in Falco's covert investigation into their illegal activities. Working in conjunction with law enforcement and drawing on the wealth of material from Falco's book, along with broader documented historical research of inter-gang rivalry, this series captures the reality of outlaw biker counter-culture: a world where freedom is equated with the right to carry guns and trade drugs with impunity, and respect can be earned through fear. With Falco's assistance, the FBI finally gets what it needs to break up these criminal gangs.",Filmroos,0.5,History,15/12/2013,Movie,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/237/187/s-48-basic-training-dpb-tablet_PageBanner1536x792_1536x792_688531523832.jpg,,3,30,,http://placehold.it/290x187,,http://placehold.it/290x187,,http://placehold.it/290x187
A&E Television Network,49,Battlefield Detectives,"This is not a story about the glory of Rome.  It's the story of the millions who rise and fight for freedom in the shadow of absolute power, and the few who led the charge.  The empire calls them Barbarians -  tribes beyond the fringe of civilization that live a primitive, brutish and violent existence.  But these peoples are also some of the fiercest warriors in history -  men and women who refuse to bow to ruthless oppression, launching an epic saga of resistance that ushers in the fall of Rome and shapes the world to come.",Kurtis,0.2,"Crime, Entertainment",15/12/2013,Scripted,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/304/58/s-49-battlefield-detectives-dpb-tablet_PageBanner1536x792_1536x792_688504899717.jpg,,4,40,,http://placehold.it/290x188,,http://placehold.it/290x188,,http://placehold.it/290x188
The History Channel,50,Battleline,"Set against the backdrop of the hit dating competition show Everlasting, UnREAL is led by flawed heroine Rachel Goldberg (Shiri Appleby), a young producer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage that the program's dispassionate executive producer, Quinn King (Constance Zimmer), demands. What ensues is an eye-opening look at what happens in the outrageous world of unscripted television where being a contestant can be vicious and producing it is a whole other reality.",Kurtis,0.13,History,15/12/2013,Formats,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/224/499/s-50-battleline-dpb-tablet_PageBanner1536x792_1536x792_688503875736.jpg,TRUE,1,10,,http://placehold.it/290x189,,http://placehold.it/290x189,,http://placehold.it/290x189
Lifetime Television,51,Behind Closed Doors With Joan Lunden,"Before America was one nation, an aging generation of British loyalists maintained diplomacy with the King, but a defiant and radical group of young men would band together in secrecy to change the course of history.Sam Adams, John Hancock, John Adams, Paul Revere, Patrick Henry, Benedict Arnold. Together, they were The Sons of Liberty. Though their names have become American legend, few realize that this group of young radicals didn't start as noble patriots. They were a new American generation of young men from varied backgrounds trying to figure out what to do with their lives. What began as a small testing of authority would become an underground protest movement, inciting the British to respond with totalitarian tactics, cracking down on the colonies and instituting a near police state to maintain order. But after blood was spilled at the Boston Massacre, the Sons of Liberty rallied support for a larger cause. The Sons became guerilla warriors working underground, establishing spy networks, stockpiling weapons and planning covert actions - from the Boston Tea Party to the Battle of Lexington and Concord - that would lead to a declaration of independence and the greatest fight for freedom the world has ever seen. The Sons of Liberty led the revolution before the war and their fight became a nation.",Towers Productions,1,"Crime, Entertainment",15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/224/499/s-51-behind-closed-doors-with-joan-lunden-dpb-tablet_PageBanner1536x792_1536x792_688511555687.jpg,,2,20,,http://placehold.it/290x190,,http://placehold.it/290x190,,http://placehold.it/290x190
A&E Television Network,65,Civil War Combat,"Charles Falco is one of only three men ever to infiltrate three different outlaw biker gangs. With his savvy and expertise, not to mention his immense courage, Falco has helped law enforcement bring some of America's most dangerous and feared gangs to justice. This first season of The Infiltrator takes us deep inside the notorious Vagos. Falco details this operation in the optioned book Vagos, Mongols, and Outlaws: My Infiltration of America's Deadliest Biker Gangs. The real-life Donnie Brasco will meet Sons of Anarchy in a way that can be Gangland 2.0 for History. With a combination of interviews and high-end recreations, each episode unfolds a different step in Falco's covert investigation into their illegal activities. Working in conjunction with law enforcement and drawing on the wealth of material from Falco's book, along with broader documented historical research of inter-gang rivalry, this series captures the reality of outlaw biker counter-culture: a world where freedom is equated with the right to carry guns and trade drugs with impunity, and respect can be earned through fear. With Falco's assistance, the FBI finally gets what it needs to break up these criminal gangs.",Filmroos,2,"Crime, History",15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/219/619/s-65-civil-war-combat-dpb-tablet_PageBanner1536x792_1536x792_688499267879.jpg,,3,30,,http://placehold.it/290x191,,http://placehold.it/290x191,,http://placehold.it/290x191
The History Channel,66,Civil War Journal,"This is not a story about the glory of Rome.  It's the story of the millions who rise and fight for freedom in the shadow of absolute power, and the few who led the charge.  The empire calls them Barbarians -  tribes beyond the fringe of civilization that live a primitive, brutish and violent existence.  But these peoples are also some of the fiercest warriors in history -  men and women who refuse to bow to ruthless oppression, launching an epic saga of resistance that ushers in the fall of Rome and shapes the world to come.",Kurtis,0.5,Crime,15/12/2013,Movie,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/226/450/s-66-civil-war-journal-dpb-tablet_PageBanner1536x792_1536x792_688510531797.jpg,TRUE,4,40,,http://placehold.it/290x192,,http://placehold.it/290x192,,http://placehold.it/290x192
Lifetime Television,70,Come Home Alive,"Set against the backdrop of the hit dating competition show Everlasting, UnREAL is led by flawed heroine Rachel Goldberg (Shiri Appleby), a young producer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage that the program's dispassionate executive producer, Quinn King (Constance Zimmer), demands. What ensues is an eye-opening look at what happens in the outrageous world of unscripted television where being a contestant can be vicious and producing it is a whole other reality.",Towers Productions,0.2,"Entertainment, Technology & engineering",15/12/2013,Scripted,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/224/999/s-70-come-home-alive-dpb-tablet_PageBanner1536x792_1536x792_688504387542.jpg,,1,10,,http://placehold.it/290x193,,http://placehold.it/290x193,,http://placehold.it/290x193
A&E Television Network,72,Conquest,"Before America was one nation, an aging generation of British loyalists maintained diplomacy with the King, but a defiant and radical group of young men would band together in secrecy to change the course of history.Sam Adams, John Hancock, John Adams, Paul Revere, Patrick Henry, Benedict Arnold. Together, they were The Sons of Liberty. Though their names have become American legend, few realize that this group of young radicals didn't start as noble patriots. They were a new American generation of young men from varied backgrounds trying to figure out what to do with their lives. What began as a small testing of authority would become an underground protest movement, inciting the British to respond with totalitarian tactics, cracking down on the colonies and instituting a near police state to maintain order. But after blood was spilled at the Boston Massacre, the Sons of Liberty rallied support for a larger cause. The Sons became guerilla warriors working underground, establishing spy networks, stockpiling weapons and planning covert actions - from the Boston Tea Party to the Battle of Lexington and Concord - that would lead to a declaration of independence and the greatest fight for freedom the world has ever seen. The Sons of Liberty led the revolution before the war and their fight became a nation.",Filmroos,0.13,History,15/12/2013,Formats,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/222/547/s-72-conquest-dpb-tablet_PageBanner1536x792_1536x792_688506435678.jpg,TRUE,2,20,,http://placehold.it/290x194,,http://placehold.it/290x194,,http://placehold.it/290x194
